"f_9981-1","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.0129,1,0.079,0.079,0.5,0
1.0129,1,0.08,0.08,0.5,0
1.0129,1,0.081,0.081,0.5,0
1.0129,1,0.082,0.082,0.5,0
1.0129,1,0.083,0.083,0.5,0
1.0129,1,0.084,0.084,0.5,0
1.0129,1,0.085,0.085,0.5,0
1.0129,1,0.086,0.086,0.5,0
1.0129,1,0.087,0.087,0.5,0
1.0129,1,0.088,0.088,0.5,0
1.0129,1,0.089,0.089,0.5,0
1.0129,1,0.09,0.09,0.5,0
1.0129,1,0.091,0.091,0.5,0
1.0129,1,0.092,0.092,0.5,0
1.0129,1,0.093,0.093,0.5,0
1.0129,1,0.094,0.094,0.5,0
1.0129,1,0.095,0.095,0.5,0
1.0129,1,0.096,0.096,0.5,0
1.0129,1,0.097,0.097,0.5,0
1.0129,1,0.098,0.098,0.5,0
1.0129,1,0.099,0.099,0.5,0
1.0129,1,0.1,0.1,0.5,0
1.0129,1,0.101,0.101,0.5,0
1.0129,1,0.102,0.102,0.5,0
1.0129,1,0.103,0.103,0.5,0
1.0129,1,0.104,0.104,0.5,0
1.0129,1,0.105,0.105,0.5,0
1.0129,1,0.106,0.106,0.5,0
1.0129,1,0.107,0.107,0.5,0
1.0129,1,0.108,0.108,0.5,0
1.0129,1,0.109,0.109,0.5,0
1.0129,1,0.11,0.11,0.5,0
1.0129,1,0.111,0.111,0.5,0
1.0129,1,0.112,0.112,0.5,0
1.0129,1,0.113,0.113,0.5,0
1.0129,1,0.114,0.114,0.5,0
1.0129,1,0.115,0.115,0.5,0
1.0129,1,0.116,0.116,0.5,0
1.0129,1,0.117,0.117,0.5,0
1.0129,1,0.118,0.118,0.5,0
1.0129,1,0.119,0.119,0.5,0
1.0129,1,0.12,0.12,0.5,0
1.0129,1,0.121,0.121,0.5,0
1.0129,1,0.122,0.122,0.5,0
1.0129,1,0.123,0.123,0.5,0
1.0129,1,0.124,0.124,0.5,0
1.0129,1,0.125,0.125,0.5,0
1.0129,1,0.126,0.126,0.5,0
1.0129,1,0.127,0.127,0.5,0
1.0129,1,0.128,0.128,0.5,0
1.0129,1,0.129,0.129,0.5,0
1.0129,1,0.13,0.13,0.5,0
1.0129,1,0.131,0.131,0.5,0
1.0129,1,0.132,0.132,0.5,0
1.0129,1,0.133,0.133,0.5,0
1.0129,1,0.134,0.134,0.5,0
1.0129,1,0.135,0.135,0.5,0
1.0129,1,0.136,0.136,0.5,0
1.0129,1,0.137,0.137,0.5,0
1.0129,1,0.138,0.138,0.5,0
1.0129,1,0.139,0.139,0.5,0
1.0129,1,0.14,0.14,0.5,0
1.0129,1,0.141,0.141,0.5,0
1.0129,1,0.142,0.142,0.5,0
1.0129,1,0.143,0.143,0.5,0
1.0129,1,0.144,0.144,0.5,0
1.0129,1,0.145,0.145,0.5,0
1.0129,1,0.146,0.146,0.5,0
1.0129,1,0.147,0.147,0.5,0
1.0129,1,0.148,0.148,0.5,0
1.0129,1,0.149,0.149,0.5,0
1.0129,1,0.15,0.15,0.5,0
1.0129,1,0.151,0.151,0.5,0
1.0129,1,0.152,0.152,0.5,0
1.0129,1,0.153,0.153,0.5,0
1.0129,1,0.154,0.154,0.5,0
1.0129,1,0.155,0.155,0.5,0
1.0129,1,0.156,0.156,0.5,0
1.0129,1,0.157,0.157,0.5,0
1.0129,1,0.158,0.158,0.5,0
1.0129,1,0.159,0.159,0.5,0
1.0129,1,0.16,0.16,0.5,0
1.0129,1,0.161,0.161,0.5,0
1.0129,1,0.162,0.162,0.5,0
1.0129,1,0.163,0.163,0.5,0
1.0129,1,0.164,0.164,0.5,0
1.0129,1,0.165,0.165,0.5,0
1.0129,1,0.166,0.166,0.5,0
1.0129,1,0.167,0.167,0.5,0
1.0129,1,0.168,0.168,0.5,0
1.0129,1,0.169,0.169,0.5,0
1.0129,1,0.17,0.17,0.5,0
1.0129,1,0.171,0.171,0.5,0
1.0129,1,0.172,0.172,0.5,0
1.0129,1,0.173,0.173,0.5,0
1.0129,1,0.174,0.174,0.5,0
1.0129,1,0.175,0.175,0.5,0
1.0129,1,0.176,0.176,0.5,0
1.0129,1,0.177,0.177,0.5,0
1.0129,1,0.178,0.178,0.5,0
1.0129,1,0.179,0.179,0.5,0
1.0129,1,0.18,0.18,0.5,0
1.0129,1,0.181,0.181,0.5,0
1.0129,1,0.182,0.182,0.5,0
1.0129,1,0.183,0.183,0.5,0
1.0129,1,0.184,0.184,0.5,0
1.0129,1,0.185,0.185,0.5,0
1.0129,1,0.186,0.186,0.5,0
1.0129,1,0.187,0.187,0.5,0
1.0129,1,0.188,0.188,0.5,0
1.0129,1,0.189,0.189,0.5,0
1.0129,1,0.19,0.19,0.5,0
1.0129,1,0.191,0.191,0.5,0
1.0129,1,0.192,0.192,0.5,0
1.0129,1,0.193,0.193,0.5,0
1.0129,1,0.194,0.194,0.5,0
1.0129,1,0.195,0.195,0.5,0
1.0129,1,0.196,0.196,0.5,0
1.0129,1,0.197,0.197,0.5,0
1.0129,1,0.198,0.198,0.5,0
1.0129,1,0.199,0.199,0.5,0
1.0129,1,0.2,0.2,0.5,0
1.0129,1,0.201,0.201,0.5,0
1.0129,1,0.202,0.202,0.5,0
1.0129,1,0.203,0.203,0.5,0
1.0129,1,0.204,0.204,0.5,0
1.0129,1,0.205,0.205,0.5,0
1.0129,1,0.206,0.206,0.5,0
1.0129,1,0.207,0.207,0.5,0
1.0129,1,0.208,0.208,0.5,0
1.0129,1,0.209,0.209,0.5,0
1.0129,1,0.21,0.21,0.5,0
1.0129,1,0.211,0.211,0.5,0
1.0129,1,0.212,0.212,0.5,0
1.0129,1,0.213,0.213,0.5,0
1.0129,1,0.214,0.214,0.5,0
1.0129,1,0.215,0.215,0.5,0
1.0129,1,0.216,0.216,0.5,0
1.0129,1,0.217,0.217,0.5,0
1.0129,1,0.218,0.218,0.5,0
1.0129,1,0.219,0.219,0.5,0
1.0129,1,0.22,0.22,0.5,0
1.0129,1,0.221,0.221,0.5,0
1.0129,1,0.222,0.222,0.5,0
1.0129,1,0.223,0.223,0.5,0
1.0129,1,0.224,0.224,0.5,0
1.0129,1,0.225,0.225,0.5,0
1.0129,1,0.226,0.226,0.5,0
1.0129,1,0.227,0.227,0.5,0
1.0129,1,0.228,0.228,0.5,0
1.0129,1,0.229,0.229,0.5,0
1.0129,1,0.23,0.23,0.5,0
1.0129,1,0.231,0.231,0.5,0
1.0129,1,0.232,0.232,0.5,0
1.0129,1,0.233,0.233,0.5,0
1.0129,1,0.234,0.234,0.5,0
1.0129,1,0.235,0.235,0.5,0
1.0129,1,0.236,0.236,0.5,0
1.0129,1,0.237,0.237,0.5,0
1.0129,1,0.238,0.238,0.5,0
1.0129,1,0.239,0.239,0.5,0
1.0129,1,0.24,0.24,0.5,0
1.0129,1,0.241,0.241,0.5,0
1.0129,1,0.242,0.242,0.5,0
1.0129,1,0.243,0.243,0.5,0
1.0129,1,0.244,0.244,0.5,0
1.0129,1,0.245,0.245,0.5,0
1.0129,1,0.246,0.246,0.5,0
1.0129,1,0.247,0.247,0.5,0
1.0129,1,0.248,0.248,0.5,0
1.0129,1,0.249,0.249,0.5,0
1.0129,1,0.25,0.25,0.5,0
1.0129,1,0.251,0.251,0.5,0
1.0129,1,0.252,0.252,0.5,0
1.0129,1,0.253,0.253,0.5,0
1.0129,1,0.254,0.254,0.5,0
1.0129,1,0.255,0.255,0.5,0
1.0129,1,0.256,0.256,0.5,0
1.0129,1,0.257,0.257,0.5,0
1.0129,1,0.258,0.258,0.5,0
1.0129,1,0.259,0.259,0.5,0
1.0129,1,0.26,0.26,0.5,0
1.0129,1,0.261,0.261,0.5,0
1.0129,1,0.262,0.262,0.5,0
1.0129,1,0.263,0.263,0.5,0
1.0129,1,0.264,0.264,0.5,0
1.0129,1,0.265,0.265,0.5,0
1.0129,1,0.266,0.266,0.5,0
1.0129,1,0.267,0.267,0.5,0
1.0129,1,0.268,0.268,0.5,0
1.0129,1,0.269,0.269,0.5,0
1.0129,1,0.27,0.27,0.5,0
1.0129,1,0.271,0.271,0.5,0
1.0129,1,0.272,0.272,0.5,0
1.0129,1,0.273,0.273,0.5,0
1.0129,1,0.274,0.274,0.5,0
1.0129,1,0.275,0.275,0.5,0
1.0129,1,0.276,0.276,0.5,0
1.0129,1,0.277,0.277,0.5,0
1.0129,1,0.278,0.278,0.5,0
1.0129,1,0.279,0.279,0.5,0
1.0129,1,0.28,0.28,0.5,0
1.0129,1,0.281,0.281,0.5,0
1.0129,1,0.282,0.282,0.5,0
1.0129,1,0.283,0.283,0.5,0
1.0129,1,0.284,0.284,0.5,0
1.0129,1,0.285,0.285,0.5,0
1.0129,1,0.286,0.286,0.5,0
1.0129,1,0.287,0.287,0.5,0
1.0129,1,0.288,0.288,0.5,0
1.0129,1,0.289,0.289,0.5,0
1.0129,1,0.29,0.29,0.5,0
1.0129,1,0.291,0.291,0.5,0
1.0129,1,0.292,0.292,0.5,0
1.0129,1,0.293,0.293,0.5,0
1.0129,1,0.294,0.294,0.5,0
1.0129,1,0.295,0.295,0.5,0
1.0129,1,0.296,0.296,0.5,0
1.0129,1,0.297,0.297,0.5,0
1.0129,1,0.298,0.298,0.5,0
1.0129,1,0.299,0.299,0.5,0
1.0129,1,0.3,0.3,0.5,0
1.0129,1,0.301,0.301,0.5,0
1.0129,1,0.302,0.302,0.5,0
1.0129,1,0.303,0.303,0.5,0
1.0129,1,0.304,0.304,0.5,0
1.0129,1,0.305,0.305,0.5,0
1.0129,1,0.306,0.306,0.5,0
1.0129,1,0.307,0.307,0.5,0
1.0129,1,0.308,0.308,0.5,0
1.0129,1,0.309,0.309,0.5,0
1.0129,1,0.31,0.31,0.5,0
1.0129,1,0.311,0.311,0.5,0
1.0129,1,0.312,0.312,0.5,0
1.0129,1,0.313,0.313,0.5,0
1.0129,1,0.314,0.314,0.5,0
1.0129,1,0.315,0.315,0.5,0
1.0129,1,0.316,0.316,0.5,0
1.0129,1,0.317,0.317,0.5,0
1.0129,1,0.318,0.318,0.5,0
1.0129,1,0.319,0.319,0.5,0
1.0129,1,0.32,0.32,0.5,0
1.0129,1,0.321,0.321,0.5,0
1.0129,1,0.322,0.322,0.5,0
1.0129,1,0.323,0.323,0.5,0
1.0129,1,0.324,0.324,0.5,0
1.0129,1,0.325,0.325,0.5,0
1.0129,1,0.326,0.326,0.5,0
1.0129,1,0.327,0.327,0.5,0
1.0129,1,0.328,0.328,0.5,0
1.0129,1,0.329,0.329,0.5,0
1.0129,1,0.33,0.33,0.5,0
1.0129,1,0.331,0.331,0.5,0
1.0129,1,0.332,0.332,0.5,0
1.0129,1,0.333,0.333,0.5,0
1.0129,1,0.334,0.334,0.5,0
1.0129,1,0.335,0.335,0.5,0
1.0129,1,0.336,0.336,0.5,0
1.0129,1,0.337,0.337,0.5,0
1.0129,1,0.338,0.338,0.5,0
1.0129,1,0.339,0.339,0.5,0
1.0129,1,0.34,0.34,0.5,0
1.0129,1,0.341,0.341,0.5,0
1.0129,1,0.342,0.342,0.5,0
1.0129,1,0.343,0.343,0.5,0
1.0129,1,0.344,0.344,0.5,0
1.0129,1,0.345,0.345,0.5,0
1.0129,1,0.346,0.346,0.5,0
1.0129,1,0.347,0.347,0.5,0
1.0129,1,0.348,0.348,0.5,0
1.0129,1,0.349,0.349,0.5,0
1.0129,1,0.35,0.35,0.5,0
1.0129,1,0.351,0.351,0.5,0
1.0129,1,0.352,0.352,0.5,0
1.0129,1,0.353,0.353,0.5,0
1.0129,1,0.354,0.354,0.5,0
1.0129,1,0.355,0.355,0.5,0
1.0129,1,0.356,0.356,0.5,0
1.0129,1,0.357,0.357,0.5,0
1.0129,1,0.358,0.358,0.5,0
1.0129,1,0.359,0.359,0.5,0
1.0129,1,0.36,0.36,0.5,0
1.0129,1,0.361,0.361,0.5,0
1.0129,1,0.362,0.362,0.5,0
1.0129,1,0.363,0.363,0.5,0
1.0129,1,0.364,0.364,0.5,0
1.0129,1,0.365,0.365,0.5,0
1.0129,1,0.366,0.366,0.5,0
1.0129,1,0.367,0.367,0.5,0
1.0129,1,0.368,0.368,0.5,0
1.0129,1,0.369,0.369,0.5,0
1.0129,1,0.37,0.37,0.5,0
1.0129,1,0.371,0.371,0.5,0
1.0129,1,0.372,0.372,0.5,0
1.0129,1,0.373,0.373,0.5,0
1.0129,1,0.374,0.374,0.5,0
1.0129,1,0.375,0.375,0.5,0
1.0129,1,0.376,0.376,0.5,0
1.0129,1,0.377,0.377,0.5,0
1.0129,1,0.378,0.378,0.5,0
1.0129,1,0.379,0.379,0.5,0
1.0129,1,0.38,0.38,0.5,0
1.0129,1,0.381,0.381,0.5,0
1.0129,1,0.382,0.382,0.5,0
1.0129,1,0.383,0.383,0.5,0
1.0129,1,0.384,0.384,0.5,0
1.0129,1,0.385,0.385,0.5,0
1.0129,1,0.386,0.386,0.5,0
1.0129,1,0.387,0.387,0.5,0
1.0129,1,0.388,0.388,0.5,0
1.0129,1,0.389,0.389,0.5,0
1.0129,1,0.39,0.39,0.5,0
1.0129,1,0.391,0.391,0.5,0
1.0129,1,0.392,0.392,0.5,0
1.0129,1,0.393,0.393,0.5,0
1.0129,1,0.394,0.394,0.5,0
1.0129,1,0.395,0.395,0.5,0
1.0129,1,0.396,0.396,0.5,0
1.0129,1,0.397,0.397,0.5,0
1.0129,1,0.398,0.398,0.5,0
1.0129,1,0.399,0.399,0.5,0
1.0129,1,0.4,0.4,0.5,0
1.0129,1,0.401,0.401,0.5,0
1.0129,1,0.402,0.402,0.5,0
1.0129,1,0.403,0.403,0.5,0
1.0129,1,0.404,0.404,0.5,0
1.0129,1,0.405,0.405,0.5,0
1.0129,1,0.406,0.406,0.5,0
1.0129,1,0.407,0.407,0.5,0
1.0129,1,0.408,0.408,0.5,0
1.0129,1,0.409,0.409,0.5,0
1.0129,1,0.41,0.41,0.5,0
1.0129,1,0.411,0.411,0.5,0
1.0129,1,0.412,0.412,0.5,0
1.0129,1,0.413,0.413,0.5,0
1.0129,1,0.414,0.414,0.5,0
1.0129,1,0.415,0.415,0.5,0
1.0129,1,0.416,0.416,0.5,0
1.0129,1,0.417,0.417,0.5,0
1.0129,1,0.418,0.418,0.5,0
1.0129,1,0.419,0.419,0.5,0
1.0129,1,0.42,0.42,0.5,0
1.0129,1,0.421,0.421,0.5,0
1.0129,1,0.422,0.422,0.5,0
1.0129,1,0.423,0.423,0.5,0
1.0129,1,0.424,0.424,0.5,0
1.0129,1,0.425,0.425,0.5,0
1.0129,1,0.426,0.426,0.5,0
1.0129,1,0.427,0.427,0.5,0
1.0129,1,0.428,0.428,0.5,0
1.0129,1,0.429,0.429,0.5,0
1.0129,1,0.43,0.43,0.5,0
1.0129,1,0.431,0.431,0.5,0
1.0129,1,0.432,0.432,0.5,0
1.0129,1,0.433,0.433,0.5,0
1.0129,1,0.434,0.434,0.5,0
1.0129,1,0.435,0.435,0.5,0
1.0129,1,0.436,0.436,0.5,0
1.0128,1,0.437,0.437,0.5,0
1.0128,1,0.438,0.438,0.5,0
1.0128,1,0.439,0.439,0.5,0
1.0128,1,0.44,0.44,0.5,0
1.0128,1,0.441,0.441,0.5,0
1.0128,1,0.442,0.442,0.5,0
1.0128,1,0.443,0.443,0.5,0
1.0128,1,0.444,0.444,0.5,0
1.0128,1,0.445,0.445,0.5,0
1.0128,1,0.446,0.446,0.5,0
1.0128,1,0.447,0.447,0.5,0
1.0128,1,0.448,0.448,0.5,0
1.0128,1,0.449,0.449,0.5,0
1.0128,1,0.45,0.45,0.5,0
1.0128,1,0.451,0.451,0.5,0
1.0128,1,0.452,0.452,0.5,0
1.0128,1,0.453,0.453,0.5,0
1.0128,1,0.454,0.454,0.5,0
1.0128,1,0.455,0.455,0.5,0
1.0128,1,0.456,0.456,0.5,0
1.0128,1,0.457,0.457,0.5,0
1.0128,1,0.458,0.458,0.5,0
1.0128,1,0.459,0.459,0.5,0
1.0128,1,0.46,0.46,0.5,0
1.0128,1,0.461,0.461,0.5,0
1.0128,1,0.462,0.462,0.5,0
1.0128,1,0.463,0.463,0.5,0
1.0128,1,0.464,0.464,0.5,0
1.0128,1,0.465,0.465,0.5,0
1.0128,1,0.466,0.466,0.5,0
1.0128,1,0.467,0.467,0.5,0
1.0128,1,0.468,0.468,0.5,0
1.0128,1,0.469,0.469,0.5,0
1.0128,1,0.47,0.47,0.5,0
1.0128,1,0.471,0.471,0.5,0
1.0128,1,0.472,0.472,0.5,0
1.0128,1,0.473,0.473,0.5,0
1.0128,1,0.474,0.474,0.5,0
1.0128,1,0.475,0.475,0.5,0
1.0128,1,0.476,0.476,0.5,0
1.0128,1,0.477,0.477,0.5,0
1.0128,1,0.478,0.478,0.5,0
1.0128,1,0.479,0.479,0.5,0
1.0128,1,0.48,0.48,0.5,0
1.0128,1,0.481,0.481,0.5,0
1.0128,1,0.482,0.482,0.5,0
1.0128,1,0.483,0.483,0.5,0
1.0128,1,0.484,0.484,0.5,0
1.0128,1,0.485,0.485,0.5,0
1.0128,1,0.486,0.486,0.5,0
1.0128,1,0.487,0.487,0.5,0
1.0128,1,0.488,0.488,0.5,0
1.0128,1,0.489,0.489,0.5,0
1.0128,1,0.49,0.49,0.5,0
1.0128,1,0.491,0.491,0.5,0
1.0128,1,0.492,0.492,0.5,0
1.0128,1,0.493,0.493,0.5,0
1.0128,1,0.494,0.494,0.5,0
1.0128,1,0.495,0.495,0.5,0
1.0128,1,0.496,0.496,0.5,0
1.0128,1,0.497,0.497,0.5,0
1.0128,1,0.498,0.498,0.5,0
1.0128,1,0.499,0.499,0.5,0
1.0128,1,0.5,0.5,0.5,0
1.0128,1,0.501,0.501,0.5,0
1.0128,1,0.502,0.502,0.5,0
1.0128,1,0.503,0.503,0.5,0
1.0128,1,0.504,0.504,0.5,0
1.0128,1,0.505,0.505,0.5,0
1.0128,1,0.506,0.506,0.5,0
1.0128,1,0.507,0.507,0.5,0
1.0128,1,0.508,0.508,0.5,0
1.0128,1,0.509,0.509,0.5,0
1.0128,1,0.51,0.51,0.5,0
1.0128,1,0.511,0.511,0.5,0
1.0128,1,0.512,0.512,0.5,0
1.0128,1,0.513,0.513,0.5,0
1.0128,1,0.514,0.514,0.5,0
1.0128,1,0.515,0.515,0.5,0
1.0128,1,0.516,0.516,0.5,0
1.0128,1,0.517,0.517,0.5,0
1.0128,1,0.518,0.518,0.5,0
1.0128,1,0.519,0.519,0.5,0
1.0128,1,0.52,0.52,0.5,0
1.0128,1,0.521,0.521,0.5,0
1.0128,1,0.522,0.522,0.5,0
1.0128,1,0.523,0.523,0.5,0
1.0128,1,0.524,0.524,0.5,0
1.0128,1,0.525,0.525,0.5,0
1.0128,1,0.526,0.526,0.5,0
1.0128,1,0.527,0.527,0.5,0
1.0128,1,0.528,0.528,0.5,0
1.0128,1,0.529,0.529,0.5,0
1.0128,1,0.53,0.53,0.5,0
1.0128,1,0.531,0.531,0.5,0
1.0128,1,0.532,0.532,0.5,0
1.0128,1,0.533,0.533,0.5,0
1.0128,1,0.534,0.534,0.5,0
1.0128,1,0.535,0.535,0.5,0
1.0128,1,0.536,0.536,0.5,0
1.0128,1,0.537,0.537,0.5,0
1.0128,1,0.538,0.538,0.5,0
1.0128,1,0.539,0.539,0.5,0
1.0128,1,0.54,0.54,0.5,0
1.0128,1,0.541,0.541,0.5,0
1.0128,1,0.542,0.542,0.5,0
1.0128,1,0.543,0.543,0.5,0
1.0128,1,0.544,0.544,0.5,0
1.0128,1,0.545,0.545,0.5,0
1.0128,1,0.546,0.546,0.5,0
1.0128,1,0.547,0.547,0.5,0
1.0128,1,0.548,0.548,0.5,0
1.0128,1,0.549,0.549,0.5,0
1.0128,1,0.55,0.55,0.5,0
1.0128,1,0.551,0.551,0.5,0
1.0128,1,0.552,0.552,0.5,0
1.0128,1,0.553,0.553,0.5,0
1.0128,1,0.554,0.554,0.5,0
1.0128,1,0.555,0.555,0.5,0
1.0128,1,0.556,0.556,0.5,0
1.0128,1,0.557,0.557,0.5,0
1.0128,1,0.558,0.558,0.5,0
1.0128,1,0.559,0.559,0.5,0
1.0128,1,0.56,0.56,0.5,0
1.0128,1,0.561,0.561,0.5,0
1.0128,1,0.562,0.562,0.5,0
1.0128,1,0.563,0.563,0.5,0
1.0128,1,0.564,0.564,0.5,0
1.0128,1,0.565,0.565,0.5,0
1.0128,1,0.566,0.566,0.5,0
1.0128,1,0.567,0.567,0.5,0
1.0128,1,0.568,0.568,0.5,0
1.0128,1,0.569,0.569,0.5,0
1.0128,1,0.57,0.57,0.5,0
1.0128,1,0.571,0.571,0.5,0
1.0128,1,0.572,0.572,0.5,0
1.0128,1,0.573,0.573,0.5,0
1.0128,1,0.574,0.574,0.5,0
1.0128,1,0.575,0.575,0.5,0
1.0128,1,0.576,0.576,0.5,0
1.0128,1,0.577,0.577,0.5,0
1.0128,1,0.578,0.578,0.5,0
1.0128,1,0.579,0.579,0.5,0
1.0128,1,0.58,0.58,0.5,0
1.0128,1,0.581,0.581,0.5,0
1.0128,1,0.582,0.582,0.5,0
1.0128,1,0.583,0.583,0.5,0
1.0128,1,0.584,0.584,0.5,0
1.0128,1,0.585,0.585,0.5,0
1.0128,1,0.586,0.586,0.5,0
1.0128,1,0.587,0.587,0.5,0
1.0128,1,0.588,0.588,0.5,0
1.0128,1,0.589,0.589,0.5,0
1.0128,1,0.59,0.59,0.5,0
1.0128,1,0.591,0.591,0.5,0
1.0128,1,0.592,0.592,0.5,0
1.0128,1,0.593,0.593,0.5,0
1.0128,1,0.594,0.594,0.5,0
1.0128,1,0.595,0.595,0.5,0
1.0128,1,0.596,0.596,0.5,0
1.0128,1,0.597,0.597,0.5,0
1.0128,1,0.598,0.598,0.5,0
1.0128,1,0.599,0.599,0.5,0
1.0128,1,0.6,0.6,0.5,0
1.0128,1,0.601,0.601,0.5,0
1.0128,1,0.602,0.602,0.5,0
1.0128,1,0.603,0.603,0.5,0
1.0128,1,0.604,0.604,0.5,0
1.0128,1,0.605,0.605,0.5,0
1.0128,1,0.606,0.606,0.5,0
1.0128,1,0.607,0.607,0.5,0
1.0128,1,0.608,0.608,0.5,0
1.0128,1,0.609,0.609,0.5,0
1.0128,1,0.61,0.61,0.5,0
1.0128,1,0.611,0.611,0.5,0
1.0128,1,0.612,0.612,0.5,0
1.0128,1,0.613,0.613,0.5,0
1.0128,1,0.614,0.614,0.5,0
1.0128,1,0.615,0.615,0.5,0
1.0128,1,0.616,0.616,0.5,0
1.0128,1,0.617,0.617,0.5,0
1.0128,1,0.618,0.618,0.5,0
1.0128,1,0.619,0.619,0.5,0
1.0128,1,0.62,0.62,0.5,0
1.0128,1,0.621,0.621,0.5,0
1.0128,1,0.622,0.622,0.5,0
1.0128,1,0.623,0.623,0.5,0
1.0128,1,0.624,0.624,0.5,0
1.0128,1,0.625,0.625,0.5,0
1.0128,1,0.626,0.626,0.5,0
1.0128,1,0.627,0.627,0.5,0
1.0128,1,0.628,0.628,0.5,0
1.0128,1,0.629,0.629,0.5,0
1.0128,1,0.63,0.63,0.5,0
1.0128,1,0.631,0.631,0.5,0
1.0128,1,0.632,0.632,0.5,0
1.0128,1,0.633,0.633,0.5,0
1.0128,1,0.634,0.634,0.5,0
1.0128,1,0.635,0.635,0.5,0
1.0128,1,0.636,0.636,0.5,0
1.0128,1,0.637,0.637,0.5,0
1.0128,1,0.638,0.638,0.5,0
1.0128,1,0.639,0.639,0.5,0
1.0128,1,0.64,0.64,0.5,0
1.0128,1,0.641,0.641,0.5,0
1.0128,1,0.642,0.642,0.5,0
1.0128,1,0.643,0.643,0.5,0
1.0128,1,0.644,0.644,0.5,0
1.0128,1,0.645,0.645,0.5,0
1.0128,1,0.646,0.646,0.5,0
1.0128,1,0.647,0.647,0.5,0
1.0128,1,0.648,0.648,0.5,0
1.0128,1,0.649,0.649,0.5,0
1.0128,1,0.65,0.65,0.5,0
1.0128,1,0.651,0.651,0.5,0
1.0128,1,0.652,0.652,0.5,0
1.0128,1,0.653,0.653,0.5,0
1.0128,1,0.654,0.654,0.5,0
1.0128,1,0.655,0.655,0.5,0
1.0128,1,0.656,0.656,0.5,0
1.0128,1,0.657,0.657,0.5,0
1.0128,1,0.658,0.658,0.5,0
1.0128,1,0.659,0.659,0.5,0
1.0128,1,0.66,0.66,0.5,0
1.0128,1,0.661,0.661,0.5,0
1.0128,1,0.662,0.662,0.5,0
